"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07156099999","2008-01-01T00:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0055,1","+0046,1","10284,1","03,0000,9,1","06,0000,9,1",,,,,,,,,,,,,,,"99999,9,10188,1","8,1,010,1,+999,9",,,"4,01,0031,9,999","SYN098AAXX  01004 07156 06/// /1704 10055 20046 30188 40284 58010 60001 333 60007 90710 91106 555 60005;","Q01  00002PRCP06"
"07156099999","2008-01-01T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","150,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0054,1","+0045,1","10281,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10185,1","7,1,010,1,+999,9",,,,"SYN082AAXX  01014 07156 26/// /1502 10054 20045 30185 40281 57010 333 60005 90710 91106;",
"07156099999","2008-01-01T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0053,1","+0046,1","10276,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10180,1","8,1,012,1,+999,9",,,,"SYN082AAXX  01024 07156 26/// /1704 10053 20046 30180 40276 58012 333 60005 90710 91106;",
"07156099999","2008-01-01T03:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","190,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0053,1","+0046,1","10271,1","03,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10175,1","8,1,013,1,+999,9",,,"4,01,0031,9,999","SYN092AAXX  01034 07156 26/// /1902 10053 20046 30175 40271 58013 333 60007 90710 91106 555 60005;",
"07156099999","2008-01-01T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","160,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0052,1","+0045,1","10265,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10169,1","8,1,016,1,+999,9",,,,"SYN082AAXX  01044 07156 26/// /1602 10052 20045 30169 40265 58016 333 60005 90710 91106;",
"07156099999","2008-01-01T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","170,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0052,1","+0045,1","10261,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10165,1","6,1,015,1,+999,9",,,,"SYN082AAXX  01054 07156 26/// /1704 10052 20045 30165 40261 56015 333 60005 90710 91108;",
"07156099999","2008-01-01T06:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","170,1,N,0010,1","00180,1,9,N","005000,1,N,1","+0052,1","+0045,1","10259,1","03,0000,9,1","12,0000,9,1","24,0000,9,1",,"99,000,9,1",,,"08,1,+00180,1,07,1",,,"08,99,1,08,1,06,1,00250,1,99,9,99,9","0000,9","09,9","999,+0040,9","999,M,+0065,1","999,N,+0052,1","99999,9,10163,1","6,1,012,1,+999,9",,,"4,01,0031,9,999","SYN146AAXX  01064 07156 02350 81702 10052 20045 30163 40259 56012 60002 886// 333 10065 20052 31004 55000 60007 79999 88706 90710 91106 93100 555 60005;","Q01  00002PRCP24Q02  00002PRCP12"
"07156099999","2008-01-01T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","160,1,N,0010,1","00150,1,9,N","005000,1,N,1","+0050,1","+0043,1","10255,1","01,0000,9,1",,,,"06,000,9,1",,,"08,1,+00150,1,07,1",,,"08,99,1,08,1,06,1,00150,1,99,9,99,9",,,,,,"99999,9,10159,1","7,1,010,1,+999,9",,,"4,01,0031,9,999","SYN100AAXX  01074 07156 22250 81602 10050 20043 30159 40255 57010 886// 333 60005 88705 90710 91106 93100;",
"07156099999","2008-01-01T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","180,1,N,0021,1","00150,1,9,N","004000,1,N,1","+0050,1","+0043,1","10252,1","01,0000,9,1",,,,"06,000,9,1","2,1,99,9","2,1,99,9","08,1,+00150,1,07,1",,,"08,99,1,08,1,06,1,00150,1,99,9,99,9",,,,,,"99999,9,10156,1","8,1,009,1,+999,9","10,1",,"4,01,0021,9,999","SYN106AAXX  01084 07156 21240 81804 10050 20043 30156 40252 58009 71022 886// 333 60005 88705 90710 91104 93100;",
"07156099999","2008-01-01T09:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","180,1,N,0010,1","00240,1,9,N","004000,1,N,1","+0050,1","+0043,1","10251,1","03,0000,9,1",,,,"99,000,9,1","2,1,03,1","2,1,03,1","08,1,+00240,1,07,1",,,"08,99,1,08,1,06,1,00250,1,99,9,99,9",,,,,,"99999,9,10155,1","6,1,008,1,+999,9","10,1",,"4,01,0021,9,999","SYN116AAXX  01094 07156 21340 81802 10050 20043 30155 40251 56008 71022 886// 333 60007 88708 90710 91104 93100 555 60005;",
"07156099999","2008-01-01T10:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","150,1,N,0021,1","00300,1,9,N","005000,1,N,1","+0051,1","+0044,1","10250,1","01,0000,9,1",,,,"06,000,9,1",,,"08,1,+00300,1,07,1",,,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,,,,,"99999,9,10154,1","6,1,005,1,+999,9",,,"4,01,0031,9,999","SYN100AAXX  01104 07156 22450 81504 10051 20044 30154 40250 56005 886// 333 60005 88710 90710 91106 93100;",
"07156099999","2008-01-01T11:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","140,1,N,0010,1","00300,1,9,N","005000,1,N,1","+0053,1","+0041,1","10245,1","01,0000,9,1",,,,"06,000,9,1",,,"08,1,+00300,1,07,1",,,"08,99,1,08,1,06,1,00450,1,99,9,99,9",,,,,,"99999,9,10149,1","8,1,007,1,+999,9",,,"4,01,0031,9,999","SYN100AAXX  01114 07156 22450 81402 10053 20041 30149 40245 58007 886// 333 60005 88710 90710 91106 93100;",
