"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07156099999","2006-01-01T00:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","210,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0041,1","+0025,1","10017,1","03,0000,9,1","06,0000,9,1",,,,,,,,,,,,,,,"99999,9,09923,1","8,1,001,1,+999,9",,,"4,01,0088,9,999","SYN098AAXX  01004 07156 06/// /2106 10041 20025 39923 40017 58001 69921 333 60007 90710 91117 555 60005;","Q01  00002PRCP06"
"07156099999","2006-01-01T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","200,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0039,1","+0023,1","10018,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09924,1","1,1,001,1,+999,9",,,,"SYN082AAXX  01014 07156 26/// /2006 10039 20023 39924 40018 51001 333 60005 90710 91116;",
"07156099999","2006-01-01T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","210,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0039,1","+0023,1","10020,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09926,1","3,1,001,1,+999,9",,,,"SYN082AAXX  01024 07156 26/// /2108 10039 20023 39926 40020 53001 333 60005 90710 91117;",
"07156099999","2006-01-01T03:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","200,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0036,1","+0020,1","10017,1","03,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09923,1","0,1,000,1,+999,9",,,"4,01,0129,9,999","SYN092AAXX  01034 07156 26/// /2008 10036 20020 39923 40017 50000 333 60007 90710 91125 555 60005;",
"07156099999","2006-01-01T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","180,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0030,1","+0015,1","10012,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09917,1","8,1,007,1,+999,9",,,,"SYN082AAXX  01044 07156 26/// /1808 10030 20015 39917 40012 58007 333 60005 90710 91117;",
"07156099999","2006-01-01T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","190,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0035,1","+0019,1","10003,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09909,1","8,1,017,1,+999,9",,,,"SYN082AAXX  01054 07156 26/// /1910 10035 20019 39909 40003 58017 333 60005 90710 91119;",
"07156099999","2006-01-01T06:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","190,1,N,0051,1","00600,1,9,N","006000,1,N,1","+0037,1","+0024,1","09995,1","03,0002,9,1","12,0005,9,2","24,0004,9,2",,"99,000,9,1","6,1,06,1","2,1,06,1","07,1,+00600,1,06,1",,,"08,99,1,07,1,05,1,00800,1,99,9,99,9","0060,9","11,9","999,+0010,9","999,M,+0066,1","999,N,+0030,1","99999,9,09901,1","8,1,022,1,+999,9","61,1",,"4,01,0098,9,999","SYN152AAXX  01064 07156 01556 81910 10037 20024 39901 49995 58022 69942 76162 875// 333 10066 20030 32001 55010 69927 70004 87620 90710 91119 93100 555 69925;",
"07156099999","2006-01-01T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","230,1,N,0031,1","00600,1,9,N","006000,1,N,1","+0044,1","+0034,1","09993,1","01,0030,9,1",,,,"06,000,9,1","6,1,99,9","6,1,99,9","07,1,+00600,1,06,1",,,"08,99,1,07,1,05,1,00800,1,99,9,99,9",,,,,,"99999,9,09899,1","6,1,018,1,+999,9","63,1",,"4,01,0108,9,999","SYN106AAXX  01074 07156 21556 82306 10044 20034 39899 49993 56018 76366 875// 333 60035 87620 90710 91121 93100;",
"07156099999","2006-01-01T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","240,1,N,0041,1","00390,1,9,N","006000,1,N,1","+0057,1","+0045,1","09999,1","01,0010,9,1",,,,"06,000,9,1","8,1,99,9","6,1,99,9","07,1,+00390,1,08,1",,,"08,99,1,07,1,02,1,00450,1,99,9,99,9",,,,,,"99999,9,09906,1","5,1,003,1,+999,9","25,1",,"4,01,0098,9,999","SYN106AAXX  01084 07156 21456 82408 10057 20045 39906 49999 55003 72586 872// 333 60015 87813 90710 91119 93100;",
"07156099999","2006-01-01T09:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","250,1,N,0041,1","00390,1,9,N","006000,1,N,1","+0061,1","+0049,1","10010,1","03,0040,9,1",,,,"99,000,9,1","8,1,03,1","6,1,03,1","07,1,+00390,1,08,1",,,"08,99,1,07,1,02,1,00450,1,99,9,99,9",,,,,,"99999,9,09917,1","3,1,016,1,+999,9","61,1",,"4,01,0088,9,999","SYN116AAXX  01094 07156 21456 82508 10061 20049 39917 40010 53016 76186 872// 333 60047 87813 90710 91117 93100 555 69965;",
