"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07156099999","2009-01-01T00:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","110,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0016,1","-0003,1","10279,1","03,0000,9,1","06,0000,9,1",,,,,,,,,,,,,,,"99999,9,10181,1","3,1,002,1,+999,9",,,"4,01,0031,9,999","SYN098AAXX  01004 07156 06/// /1103 10016 21003 30181 40279 53002 60001 333 60007 90710 91106 555 60005;","Q01  00002PRCP06"
"07156099999","2009-01-01T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,N,1","+0016,1","+0000,1","10282,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10184,1","3,1,005,1,+999,9",,,,"SYN082AAXX  01014 07156 26/// /1402 10016 20000 30184 40282 53005 333 60005 90710 91106;",
"07156099999","2009-01-01T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","150,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0017,1","+0002,1","10285,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10187,1","3,1,007,1,+999,9",,,,"SYN082AAXX  01024 07156 26/// /1503 10017 20002 30187 40285 53007 333 60005 90710 91104;",
"07156099999","2009-01-01T03:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","160,1,N,0005,1","99999,9,9,N","999999,9,N,1","+0017,1","+0004,1","10287,1","03,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10189,1","1,1,008,1,+999,9",,,"4,01,0021,9,999","SYN092AAXX  01034 07156 26/// /1601 10017 20004 30189 40287 51008 333 60007 90710 91104 555 60005;",
"07156099999","2009-01-01T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0020,1","+0007,1","10286,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10189,1","1,1,005,1,+999,9",,,,"SYN082AAXX  01044 07156 26/// /3503 10020 20007 30189 40286 51005 333 60005 90710 91104;",
"07156099999","2009-01-01T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0015,1","99999,9,9,N","999999,9,N,1","+0021,1","+0005,1","10284,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10187,1","0,1,000,1,+999,9",,,,"SYN082AAXX  01054 07156 26/// /0203 10021 20005 30187 40284 50000 333 60005 90710 91106;",
"07156099999","2009-01-01T06:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0021,1","00390,1,9,N","005000,1,N,1","+0020,1","-0001,1","10287,1","03,0000,9,1","12,0000,9,1","24,0000,9,1",,"99,000,9,1",,,"07,1,+00390,1,06,1",,,"08,99,1,07,1,05,1,00450,1,99,9,99,9","0000,9","01,9","999,+0000,9","999,M,+0026,1","999,N,+0014,1","99999,9,10189,1","5,1,000,1,+999,9",,,"4,01,0031,9,999","SYN146AAXX  01064 07156 02450 80104 10020 21001 30189 40287 55000 60002 875// 333 10026 20014 30100 55000 60007 70000 87613 90710 91106 93100 555 60005;","Q01  00002PRCP12"
"07156099999","2009-01-01T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","050,1,N,0015,1","00390,1,9,N","005000,1,N,1","+0020,1","-0001,1","10291,1","01,0000,9,1",,,,"06,000,9,1",,,"07,1,+00390,1,06,1",,,"08,99,1,07,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,10193,1","3,1,004,1,+999,9",,,"4,01,0031,9,999","SYN100AAXX  01074 07156 22450 80503 10020 21001 30193 40291 53004 875// 333 60005 87613 90710 91106 93100;",
"07156099999","2009-01-01T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","040,1,N,0021,1","00300,1,9,N","004000,1,N,1","+0020,1","+0001,1","10295,1","01,0000,9,1",,,,"06,000,9,1","2,1,99,9","2,1,99,9","07,1,+00300,1,07,1",,,"08,99,1,07,1,06,1,00450,1,99,9,99,9",,,,,,"99999,9,10197,1","3,1,010,1,+999,9","10,1",,"4,01,0051,9,999","SYN106AAXX  01084 07156 21440 80404 10020 20001 30197 40295 53010 71022 876// 333 60005 87710 90710 91110 93100;",
"07156099999","2009-01-01T09:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0031,1","00300,1,9,N","004000,1,N,1","+0018,1","+0000,1","10295,1","03,0000,9,1",,,,"99,000,9,1","2,1,03,1","2,1,03,1","07,1,+00300,1,07,1",,,"08,99,1,07,1,06,1,00450,1,99,9,99,9",,,,,,"99999,9,10197,1","1,1,008,1,+999,9","10,1",,"4,01,0051,9,999","SYN116AAXX  01094 07156 21440 80306 10018 20000 30197 40295 51008 71022 876// 333 60007 87710 90710 91110 93100 555 60005;",
