"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AJ1","AL1","AY1","AY2","GA1","GA2","GA3","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","OC1","OD1","REM","EQD"
"07156099999","2010-01-01T00:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0014,1","+0001,1","09954,1","03,0000,9,1","06,0000,9,1",,,,,,,,,,,,,,,"99999,9,09859,1","8,1,002,1,+999,9",,,"4,01,0093,9,999","SYN098AAXX  01004 07156 06/// /0108 10014 20001 39859 49954 58002 60001 333 60007 90710 91118 555 60005;","Q01  00002PRCP06"
"07156099999","2010-01-01T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0011,1","+0001,1","09951,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09856,1","8,1,005,1,+999,9",,,,"SYN082AAXX  01014 07156 26/// /0108 10011 20001 39856 49951 58005 333 60005 90710 91116;",
"07156099999","2010-01-01T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","350,1,N,0051,1","99999,9,9,N","999999,9,N,1","+0013,1","-0011,1","09954,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09859,1","5,1,002,1,+999,9",,,,"SYN082AAXX  01024 07156 26/// /3510 10013 21011 39859 49954 55002 333 60005 90710 91118;",
"07156099999","2010-01-01T03:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0057,1","99999,9,9,N","999999,9,N,1","+0009,1","-0017,1","09953,1","03,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09858,1","6,1,001,1,+999,9",,,"4,01,0108,9,999","SYN092AAXX  01034 07156 26/// /0111 10009 21017 39858 49953 56001 333 60007 90710 91121 555 60005;",
"07156099999","2010-01-01T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","030,1,N,0041,1","99999,9,9,N","999999,9,N,1","+0005,1","-0016,1","09955,1","01,0000,9,1",,,,,,,,,,,,,,,,"99999,9,09860,1","2,1,004,1,+999,9",,,,"SYN082AAXX  01044 07156 26/// /0308 10005 21016 39860 49955 52004 333 60005 90710 91122;",
"07156099999","2010-01-01T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0057,1","00330,1,9,N","010000,1,N,1","+0005,1","-0021,1","09960,1","01,0000,9,1",,,,"06,000,9,1",,,"07,1,+00330,1,06,1",,,"08,99,1,07,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09865,1","3,1,006,1,+999,9",,,"4,01,0108,9,999","SYN100AAXX  01054 07156 22460 80111 10005 21021 39865 49960 53006 875// 333 60005 87611 90710 91121 93100;",
"07156099999","2010-01-01T06:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","010,1,N,0057,1","00330,1,9,N","010000,1,N,1","+0004,1","-0015,1","09964,1","03,0000,9,1","12,0000,9,1","24,0002,9,1",,"99,000,9,1",,,"07,1,+00330,1,06,1",,,"08,99,1,07,1,05,1,00450,1,99,9,99,9","0000,9","09,9","999,+0000,9","999,M,+0025,1","999,N,+0002,1","99999,9,09869,1","3,1,011,1,+999,9",,,"4,01,0103,9,999","SYN146AAXX  01064 07156 02460 80111 10004 21015 39869 49964 53011 60002 875// 333 10025 20002 31000 55000 60007 70002 87611 90710 91120 93100 555 60005;","Q01  00002PRCP12"
"07156099999","2010-01-01T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","020,1,N,0051,1","00330,1,9,N","008000,1,N,1","+0005,1","-0019,1","09971,1","01,0000,9,1",,,,"06,000,9,1",,,"07,1,+00330,1,06,1",,,"08,99,1,07,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09876,1","3,1,016,1,+999,9",,,"4,01,0118,9,999","SYN100AAXX  01074 07156 22458 80210 10005 21019 39876 49971 53016 875// 333 60005 87611 90710 91123 93100;",
"07156099999","2010-01-01T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0057,1","00330,1,9,N","006000,1,N,1","+0006,1","-0020,1","09977,1","01,0000,2,1",,,,"06,000,9,1","7,1,99,9","2,1,99,9","07,1,+00330,1,06,1",,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09882,1","3,1,017,1,+999,9","71,1",,"4,01,0124,9,999","SYN106AAXX  01084 07156 21456 83611 10006 21020 39882 49977 53017 77172 885// 333 69905 87611 90710 91124 93100;",
"07156099999","2010-01-01T09:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","360,1,N,0051,1","00330,1,9,N","008000,1,N,1","+0007,1","-0024,1","09988,1","03,0000,2,1",,,,"99,000,9,1","7,1,03,1","2,1,03,1","08,1,+00330,1,06,1",,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09893,1","3,1,024,1,+999,9","22,1",,"4,01,0124,9,999","SYN116AAXX  01094 07156 21458 83610 10007 21024 39893 49988 53024 72272 885// 333 69907 88611 90710 91124 93100 555 69905;",
